

*************** ALGORITHM EDF D[C, T] ***************
U = 0.050000 	 S = 19989 	 Percentage = 99.945000
U = 0.150000 	 S = 19923 	 Percentage = 99.615000
U = 0.250000 	 S = 19710 	 Percentage = 98.550000
U = 0.350000 	 S = 19387 	 Percentage = 96.935000
U = 0.450000 	 S = 18714 	 Percentage = 93.570000
U = 0.550000 	 S = 17809 	 Percentage = 89.045000
U = 0.650000 	 S = 16337 	 Percentage = 81.685000
U = 0.750000 	 S = 14193 	 Percentage = 70.965000
U = 0.850000 	 S = 10779 	 Percentage = 53.895000
U = 0.950000 	 S = 6112 	 Percentage = 30.560000


*************** ALGORITHM RM_DM D[C, T] ***************
U = 0.050000 	 S = 20000 	 Percentage = 100.000000
U = 0.150000 	 S = 20000 	 Percentage = 100.000000
U = 0.250000 	 S = 20000 	 Percentage = 100.000000
U = 0.350000 	 S = 20000 	 Percentage = 100.000000
U = 0.450000 	 S = 19997 	 Percentage = 99.985000
U = 0.550000 	 S = 19983 	 Percentage = 99.915000
U = 0.650000 	 S = 19958 	 Percentage = 99.790000
U = 0.750000 	 S = 19839 	 Percentage = 99.195000
U = 0.850000 	 S = 19568 	 Percentage = 97.840000
U = 0.950000 	 S = 17487 	 Percentage = 87.435000


*************** ALGORITHM FP D[C, T] ***************
U = 0.050000 	 S = 20000 	 Percentage = 100.000000
U = 0.150000 	 S = 19532 	 Percentage = 97.660000
U = 0.250000 	 S = 16360 	 Percentage = 81.800000
U = 0.350000 	 S = 12996 	 Percentage = 64.980000
U = 0.450000 	 S = 10464 	 Percentage = 52.320000
U = 0.550000 	 S = 8752 	 Percentage = 43.760000
U = 0.650000 	 S = 7750 	 Percentage = 38.750000
U = 0.750000 	 S = 19851 	 Percentage = 99.255000
U = 0.850000 	 S = 19629 	 Percentage = 98.145000
U = 0.950000 	 S = 17911 	 Percentage = 89.555000


*************** ALGORITHM EDF D[C+(T-C)/2, T] ***************
U = 0.050000 	 S = 20000 	 Percentage = 100.000000
U = 0.150000 	 S = 20000 	 Percentage = 100.000000
U = 0.250000 	 S = 20000 	 Percentage = 100.000000
U = 0.350000 	 S = 20000 	 Percentage = 100.000000
U = 0.450000 	 S = 20000 	 Percentage = 100.000000
U = 0.550000 	 S = 20000 	 Percentage = 100.000000
U = 0.650000 	 S = 20000 	 Percentage = 100.000000
U = 0.750000 	 S = 19984 	 Percentage = 99.920000
U = 0.850000 	 S = 19643 	 Percentage = 98.215000
U = 0.950000 	 S = 16453 	 Percentage = 82.265000


*************** ALGORITHM RM_DM D[C+(T-C)/2, T] ***************
U = 0.050000 	 S = 20000 	 Percentage = 100.000000
U = 0.150000 	 S = 20000 	 Percentage = 100.000000
U = 0.250000 	 S = 20000 	 Percentage = 100.000000
U = 0.350000 	 S = 20000 	 Percentage = 100.000000
U = 0.450000 	 S = 20000 	 Percentage = 100.000000
U = 0.550000 	 S = 19986 	 Percentage = 99.930000
U = 0.650000 	 S = 19940 	 Percentage = 99.700000
U = 0.750000 	 S = 19836 	 Percentage = 99.180000
U = 0.850000 	 S = 19558 	 Percentage = 97.790000
U = 0.950000 	 S = 17585 	 Percentage = 87.925000


*************** ALGORITHM FP D[C+(T-C)/2, T] ***************
U = 0.050000 	 S = 20000 	 Percentage = 100.000000
U = 0.150000 	 S = 19547 	 Percentage = 97.735000
U = 0.250000 	 S = 16500 	 Percentage = 82.500000
U = 0.350000 	 S = 13478 	 Percentage = 67.390000
U = 0.450000 	 S = 10838 	 Percentage = 54.190000
U = 0.550000 	 S = 9245 	 Percentage = 46.225000
U = 0.650000 	 S = 8423 	 Percentage = 42.115000
U = 0.750000 	 S = 19837 	 Percentage = 99.185000
U = 0.850000 	 S = 19574 	 Percentage = 97.870000
U = 0.950000 	 S = 17616 	 Percentage = 88.080000
